code,term
238078005,Familial hypercholesterolemia - homozygous
238079002,Familial hypercholesterolemia - heterozygous
238081000,Familial defective apolipoprotein B-100
403829002,Familial hypercholesterolemia due to heterozygous low density lipoprotein receptor mutation
403830007,Familial hypercholesterolemia due to homozygous low density lipoprotein receptor mutation
403831006,Familial hypercholesterolemia due to genetic defect of apolipoprotein B
444032005,Detection of mutation in apolipoprotein B-100 gene
444078002,Detection of Arg3527Gln mutation in apolipoprotein B-100 gene
444226008,Detection of mutation in low density lipoprotein receptor gene
767133009,Familial hypercholesterolemia co-occurrent and due to combined heterozygous low density lipoprotein receptor and low density lipoprotein receptor adaptor protein 1 mutations
773726000,Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency
925161000000105,Apolipoprotein B-100 single mutation genetic test
925171000000103,Apolipoprotein B-100 targeted genetic test
925181000000101,Low density lipoprotein receptor linkage genetic test
925191000000104,Low density lipoprotein receptor single mutation genetic test
925201000000102,Low density lipoprotein receptor comprehensive genetic test
925211000000100,Familial hypercholesterolaemia targeted genetic test
925221000000106,Familial hypercholesterolemia comprehensive genetic test
